label,group,expected_mode,lat,lng,radius_m,winner_entity_id,winner_title,confidence,rank_score,ux_state,ux_source,via_landmark_override,failure_class,candidate_count,latency_ms,verdict,flags
Madrid · Puerta del Sol,A,direct_landmark,40.4168,-3.7038,500,Q2807,Madrid,0.9600,0.8887,success,direct,False,DEDUPE_HIT,10,21,PASS,
Barcelona · Plaça Catalunya,A,direct_landmark,41.387,2.17,500,,,,0.6008,empty_zone,,False,UNGROUNDED,10,3390,FAIL,
Roma · Coliseo,A,direct_landmark,41.8902,12.4922,300,Q10285,Coliseo,0.9600,0.9477,success,direct,False,DEDUPE_HIT,9,8,PASS,
Paris · Tour Eiffel,A,direct_landmark,48.8584,2.2945,300,Q243,Torre Eiffel,0.9600,1.0000,success,direct,False,DEDUPE_HIT,7,8,PASS,
Carracedelo (Bierzo),B,rural_generic,42.5689,-6.6362,500,Q2900203,Monasterio de Santa María de Carracedo,0.8600,0.3104,sparse_discovery,landmark_override,True,DEDUPE_HIT,,421,PASS,
O Cebreiro (Lugo),B,rural_generic,42.7072,-7.0436,500,,,,0.4188,empty_zone,,False,UNGROUNDED,1,3479,WARN,
Las Médulas sparse entry,B,sparse_override,42.4213,-7.0436,1500,Q1618272,Villamartín de Valdeorras,0.9700,0.4379,success,direct,False,,9,3058,WARN,
Magaz de Abajo (Bierzo),B,rural_generic,42.5867,-6.67,500,Q256740,Camponaraya,0.9600,0.5884,success,direct,False,DEDUPE_HIT,1,11,PASS,
Castillo de Manzanares el Real,C,direct_landmark,40.7268,-3.8628,300,Q55483,Manzanares el Real,0.8600,0.7611,success,direct,False,DEDUPE_HIT,4,12,PASS,
Ávila · Catedral del Salvador,C,direct_landmark,40.6563,-4.6963,300,Q27732235,Museo de Ávila,0.8450,0.7318,success,direct,False,,10,4683,PASS,
Alhambra (Granada),C,direct_landmark,37.1761,-3.5881,500,Q47476,Alhambra,0.9600,0.9408,success,direct,False,DEDUPE_HIT,10,17,PASS,
Catedral de Burgos,C,direct_landmark,42.3406,-3.7044,300,Q744420,Catedral de Burgos,0.9600,0.7103,success,direct,False,DEDUPE_HIT,10,15,PASS,
"Atlantic ocean (0,0)",D,empty,0.0,0.0,1000,,,,,empty_zone,,False,HOSTILE_EMPTY,2,12,PASS,
Spanish interior mountains,D,empty,40.15,-1.0,500,,,,,empty_zone,,False,NO_CANDIDATES,,8,PASS,
Random road segment,D,empty,41.5,-4.0,300,,,,,empty_zone,,False,NO_CANDIDATES,,6,PASS,
Mediterranean offshore,D,empty,35.5,5.5,1000,,,,,empty_zone,,False,NO_CANDIDATES,,6,PASS,
London · Trafalgar Square,E,direct_landmark,51.508,-0.1281,300,Q129143,Trafalgar Square,0.9600,0.9492,success,direct,False,DEDUPE_HIT,10,13,PASS,
New York · Times Square,E,direct_landmark,40.758,-73.9855,300,Q11259,Times Square,0.8600,0.9031,success,direct,False,DEDUPE_HIT,10,15,PASS,
Tokyo · Imperial Palace,E,direct_landmark,35.6852,139.7528,500,Q500681,Kōkyo,0.9600,0.6708,success,direct,False,DEDUPE_HIT,5,12,PASS,
